PrincipalDiagnosis,Sex,25th Percentile,50th Percentile,75th Percentile,Maximum,AverageCharge
A00.1,F,8107.769578216117,8107.769578216117,8107.769578216117,8107.769578216117,8107.769578216117
A00.2,F,9149.213400747023,9149.213400747023,9149.213400747023,9149.213400747023,9149.213400747023
A00.2,M,7188.60133794278,7188.60133794278,7188.60133794278,7188.60133794278,7188.60133794278
A00.4,F,6891.950867233138,7345.379969526951,7798.809071820764,8252.238174114578,7345.379969526951
A00.4,M,6141.66382397916,6141.66382397916,6141.66382397916,6141.66382397916,6141.66382397916
A00.5,F,6601.7181520077065,6601.7181520077065,6601.7181520077065,6601.7181520077065,6601.7181520077065
A00.6,F,4919.437428023205,4919.437428023205,4919.437428023205,4919.437428023205,4919.437428023205
A00.6,M,10610.119146313527,10610.119146313527,10610.119146313527,10610.119146313527,10610.119146313527
A00.9,F,8871.060059430856,8871.060059430856,8871.060059430856,8871.060059430856,8871.060059430856
A00.9,M,6652.595496712112,6652.595496712112,6652.595496712112,6652.595496712112,6652.595496712112
A01.0,M,8611.85053382023,8611.85053382023,8611.85053382023,8611.85053382023,8611.85053382023
A01.1,F,7649.025848273708,7649.025848273708,7649.025848273708,7649.025848273708,7649.025848273708
A01.1,M,7682.768241238175,7682.768241238175,7682.768241238175,7682.768241238175,7682.768241238175
A01.2,F,5246.874308310059,5695.179308705756,6143.484309101452,6591.789309497149,5695.179308705756
A01.5,F,6332.066646104353,6332.066646104353,6332.066646104353,6332.066646104353,6332.066646104353
A01.5,M,7213.901301233766,7817.21699304176,8420.532684849753,9023.848376657748,7817.21699304176
A01.7,F,7494.805208491987,7494.805208491987,7494.805208491987,7494.805208491987,7494.805208491987
A01.7,M,9816.02938612624,9816.02938612624,9816.02938612624,9816.02938612624,9816.02938612624
A01.8,F,7006.18326975603,7006.18326975603,7006.18326975603,7006.18326975603,7006.18326975603
A01.9,M,5960.251670462875,5960.251670462875,5960.251670462875,5960.251670462875,5960.251670462875
A02.0,M,7158.447520448407,7158.447520448407,7158.447520448407,7158.447520448407,7158.447520448407
A02.1,F,7227.809859527486,7227.809859527486,7227.809859527486,7227.809859527486,7227.809859527486
A02.1,M,7657.715487297481,7657.715487297481,7657.715487297481,7657.715487297481,7657.715487297481
A02.2,F,7973.050721163527,8027.920934395231,8644.43645323955,9260.951972083869,8402.351138136974
A02.2,M,8351.35551823363,8378.608506526907,8405.861494820183,8433.114483113459,8378.608506526907
A02.7,F,8130.877726178107,8130.877726178107,8130.877726178107,8130.877726178107,8130.877726178107
A02.7,M,6686.990972345189,6686.990972345189,6686.990972345189,6686.990972345189,6686.990972345189
A02.9,M,6864.529516292604,7091.7115733182545,7318.893630343904,7546.075687369554,7091.7115733182545
A03.1,M,6207.139479064256,7072.087856057702,7937.036233051149,8801.984610044596,7072.087856057702
A03.2,F,8444.373896104451,8444.373896104451,8444.373896104451,8444.373896104451,8444.373896104451
A03.2,M,6047.706355384163,6047.706355384163,6047.706355384163,6047.706355384163,6047.706355384163
A03.3,F,8924.884240286301,8924.884240286301,8924.884240286301,8924.884240286301,8924.884240286301
A03.3,M,7692.859442158293,8443.53002502165,9194.200607885005,9944.87119074836,8443.53002502165
A03.4,F,7441.555947665623,7441.555947665623,7441.555947665623,7441.555947665623,7441.555947665623
A03.5,M,6459.708823395325,6459.708823395325,6459.708823395325,6459.708823395325,6459.708823395325
A03.8,M,5271.73819904242,6085.215789040407,6898.693379038394,7712.1709690363805,6085.215789040407
